Model	Treatment	Treatment target	Treatment type	BestResponse	Day_BestResponse	BestAvgResponse	Day_BestAvgResponse	TimeToDouble	Day_Last	ResponseCategory
X-035	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-3.9	34	3.5	13	62	62	SD-->PD
X-035	BYL719	PIK3CA	single	-80.3	69	-46.3	105	135.3	156	PR-->-->PD
X-035	BYL719 + HSP990	"PIK3CA,HSP90"	combo	19.6	32	37.6	11	51.4	63	PD
X-035	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-94.4	63	-64.1	66	66	66	PR
X-035	HDM201	MDM2	single	96.7	20	35.1	13	23.2	34	PD
X-035	figitumumab	IGF1R	single	294.8	20	63.2	13	9.3	24	PD
X-035	HSP990	HSP90	single	2.3	10	2.2	14	28	28	SD-->PD
X-035	INC280 + trastuzumab	"ERBB2,MET"	combo	-100	65	-77	97	97	97	CR
X-035	LEE011	"CDK4,CDK6,CDK4/6"	single	-100	97	-72.6	223	320.3	330	CR-->-->PD
X-035	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-100	97	-77.6	97	97	97	CR
X-035	LJM716	ERBB3	single	-15.5	14	13.2	28	42	42	SD
X-035	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	36.8	31	3.1	15	31	31	PD
X-035	LLM871	FGFR2/4	single	114.1	22	31.2	12	16.5	33	PD
X-035	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	10.8	23	32	14	30	30	PD
X-035	everolimus	MTOR	single	-84.4	89	-52.1	97	138.1	148	PR-->-->PD
X-035	trastuzumab	ERBB2	single	-88	94	-15.1	136	10.9	220	SD-->-->PD
X-037	BGJ398	FGFR	single	75.4	20	13.2	13	24.5	58	PD
X-037	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-97.6	201	-23	201	201	201	PR
X-037	BYL719	PIK3CA	single	-8.1	69	14.9	13	122	122	SD-->PD
X-037	BYL719 + HSP990	"PIK3CA,HSP90"	combo	72.2	23	16.6	13	27.1	42	PD
X-037	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	178.5	23	34.9	13	17.4	31	PD
X-037	HDM201	MDM2	single	118.2	25	32.2	12	18.4	43	PD
X-037	figitumumab	IGF1R	single	155.1	20	38.5	13	15.4	43	PD
X-037	HSP990	HSP90	single	132.2	20	33.2	13	17.8	53	PD
X-037	INC280	MET	single	-78.8	73	28.4	73	23.4	73	SD
X-037	INC280 + trastuzumab	"ERBB2,MET"	combo	328.5	23	86.5	13	6.3	23	PD
X-037	LEE011	"CDK4,CDK6,CDK4/6"	single	18	20	7.2	13	68.8	122	SD-->PD
X-037	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-86.6	52	-29.4	60	60	60	PR
X-037	LJM716	ERBB3	single	287	23	73.5	13	7.5	23	PD
X-037	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	192.2	23	46	13	12.1	23	PD
X-037	LLM871	FGFR2/4	single	-100	83	-29.4	151	151	151	PR
X-037	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	34.2	34	47.5	13	56	56	PD
X-037	everolimus	MTOR	single	48.8	25	20.7	12	33.5	85	PD
X-037	trastuzumab	ERBB2	single	214.2	20	57	13	11.9	38	PD
X-037	untreated	"UNKNOWN,Untreated"	single	147.3	36	41	12	18.6	90	PD
X-038	BGJ398	FGFR	single	108	21	19.7	14	19.7	24	PD
X-038	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	20	28	27.7	14	42.6	112	SD
X-038	BYL719	PIK3CA	single	100.2	21	22.4	14	21	24	PD
X-038	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-53.6	35	-27.1	44	97	97	PR-->PD
X-038	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	172.7	21	19.9	12	13.8	32	PD
X-038	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	120	25	52.1	13	12.5	52	PD
X-038	HDM201	MDM2	single	36.8	14	34.6	14	14	14	PD
X-038	figitumumab	IGF1R	single	160.9	35	31	11	14.9	66	PD
X-038	HSP990	HSP90	single	21.9	48	10.4	11	64.7	109	SD-->PD
X-038	INC280	MET	single	102.9	20	20.2	13	19.4	52	PD
X-038	INC280 + trastuzumab	"ERBB2,MET"	combo	180.9	20	44.9	13	12.8	45	PD
X-038	LEE011	"CDK4,CDK6,CDK4/6"	single	250.7	21	97.9	11	4.7	41	PD
X-038	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-47.4	12	-22.3	21	32	32	SD
X-038	LJM716	ERBB3	single	97.4	21	14.4	12	17.3	60	PD
